CSA2010,Teen Birth Rate per 1000 Females (aged 15-19) (2010),Teen Birth Rate per 1000 Females (aged 15-19) (2011),Teen Birth Rate per 1000 Females (aged 15-19) (2012),Percent of Births Delivered at Term (37-42 Weeks) (2010),Percent of Births Delivered at Term (37-42 Weeks) (2011),Percent of Births Delivered at Term (37-42 Weeks) (2012),Percent of Babies Born with a Satisfactory Birth Weight (2010),Percent of Babies Born with a Satisfactory Birth Weight (2011),Percent of Babies Born with a Satisfactory Birth Weight (2012),Percent of Births Where the Mother Received Early Prenatal Care (First Trimester) (2010),Percent of Births Where the Mother Received Early Prenatal Care (First Trimester) (2011),Percent of Births Where the Mother Received Early Prenatal Care (First Trimester) (2012),Number of Children (aged 0-6) Tested for Elevated Blood Lead Levels (2010),Number of Children (aged 0-6) Tested for Elevated Blood Lead Levels (2011),Number of Children (aged 0-6) Tested for Elevated Blood Lead Levels (2012),Percent of Children (aged 0-6) with Elevated Blood Lead Levels (2010),Percent of Children (aged 0-6) with Elevated Blood Lead Levels (2011),Percent of Children (aged 0-6) with Elevated Blood Lead Levels (2012),Percent of Families Receiving TANF (2011),Percent of Families Receiving TANF (2012),Liquor Outlet density (per 1000 Residents) (2011),Liquor Outlet density (per 1000 Residents) (2012),Fast Food Outlet Density (per 1000 Residents) (2011),Average Healthy Food Availability Index (2012),Life Expectancy (2011),Life Expectancy (2012),Mortality by Age (Less than 1 year old) (2011),Mortality by Age (Less than 1 year old) (2012),Mortality by Age (1-14 years old) (2011),Mortality by Age (1-14 years old) (2012),Mortality by Age (15-24 years old) (2011),Mortality by Age (15-24 years old) (2012),Mortality by Age (25-44 years old) (2011),Mortality by Age (25-44 years old) (2012),Mortality by Age (45-64 years old) (2011),Mortality by Age (45-64 years old) (2012),Mortality by Age (65-84 years old) (2011),Mortality by Age (65-84 years old) (2012),Mortality by Age (85 and over) (2011),Mortality by Age (85 and over) (2012)
Hamilton,25.3,10.5,27.4,83.1,86.2,88.0,86.4,89.9,91.1,68.6,71.7,65.8,64.0,177.0,161.0,0.0,0.0,0.0,3.5,4.4,1.3,0.5,0.8,8.8,75.3,75.4,13.2,15.0,4.4,4.4,8.1,8.1,19.4,16.7,71.6,76.4,424.3,413.9,1417.6,1272.0
Harbor East/Little Italy,70.4,70.4,49.3,84.0,88.0,85.6,85.1,89.2,87.8,61.7,57.8,64.4,199.0,154.0,39.0,0.0,0.0,0.0,14.8,12.8,3.1,3.3,3.0,11.8,73.5,72.5,15.5,19.5,3.9,1.9,20.2,20.2,17.9,19.9,116.9,118.5,365.3,383.9,1117.6,1235.3
Harford/Echodale,15.8,45.5,29.7,85.8,87.2,86.2,88.1,89.7,89.2,58.0,64.9,66.4,156.0,297.0,348.0,0.0,0.0,0.0,4.3,4.1,0.4,0.7,0.6,9.9,75.9,76.2,6.3,6.4,3.3,3.3,10.6,8.8,18.6,17.0,80.5,81.8,357.1,350.4,1589.7,1572.6
Highlandtown,77.6,77.6,94.8,92.4,87.9,93.5,91.6,89.2,92.0,62.6,58.6,74.6,113.0,107.0,105.0,0.0,0.0,0.0,3.9,3.2,5.1,5.2,2.3,13.9,74.0,74.4,4.4,7.3,0.0,0.0,9.0,9.0,11.1,10.6,118.2,109.5,434.8,398.6,1728.8,1711.9
Howard Park/West Arlington,61.6,44.8,33.6,85.0,89.5,82.5,86.0,94.2,81.6,48.6,69.8,68.0,0.0,237.0,0.0,0.0,0.0,0.0,5.1,6.0,0.3,0.3,0.9,10.2,74.2,75.0,8.8,7.5,2.4,2.4,10.9,9.6,40.0,30.7,108.6,108.6,348.0,348.0,1144.0,1198.4
Inner Harbor/Federal Hill,30.0,30.0,10.0,92.7,90.8,89.8,92.1,93.5,92.1,74.4,77.7,76.3,232.0,172.0,239.0,0.0,0.0,0.0,2.8,3.6,3.3,2.6,4.2,12.4,77.3,77.8,7.1,6.9,0.0,0.0,5.4,5.4,6.9,5.6,83.6,86.9,343.3,336.7,1298.0,1245.0
Lauraville,38.8,34.2,27.4,85.8,84.8,86.0,86.6,87.4,87.3,66.1,59.6,62.7,145.0,33.0,120.0,0.0,0.0,0.0,4.2,5.0,0.7,0.6,0.6,11.5,74.2,75.0,18.0,14.7,1.9,1.9,9.8,11.0,20.1,18.3,83.5,78.7,422.9,401.1,1547.7,1527.6
Loch Raven,57.8,31.7,18.7,83.9,84.3,88.1,88.6,86.0,88.1,54.4,62.8,58.5,0.0,222.0,190.0,0.0,0.0,0.0,3.9,5.3,0.2,0.1,0.3,15.3,75.2,75.9,13.6,13.7,1.5,0.8,15.4,12.0,24.2,23.7,86.9,84.1,336.8,342.1,1263.5,1184.1
Madison/East End,81.0,86.1,75.9,83.6,85.6,81.8,85.4,83.1,89.4,50.3,53.8,65.3,377.0,353.0,318.0,6.1,5.9,4.4,24.7,26.9,1.8,1.5,4.6,10.1,66.8,67.4,14.0,14.4,1.0,2.1,23.1,20.4,53.7,42.4,166.0,176.2,504.2,491.6,1578.9,1368.4
Medfield/Hampden/Woodberry/Remington,58.8,44.1,44.1,90.0,92.1,90.9,91.0,93.4,91.8,66.5,69.0,67.9,156.0,275.0,283.0,0.0,0.0,0.0,2.7,2.3,1.2,1.2,1.0,10.4,75.5,75.9,6.3,7.1,2.2,2.2,9.5,8.4,17.4,14.8,98.7,97.2,414.6,405.0,1041.3,1052.3
