CSA2010,tpop10,male10,female10,paa10,pwhite10,pasi10,p2more10,ppac10,phisp10,racdiv10,age5_10,age18_10,age24_10,age64_10,age65_10,hhs10,femhhs10,fam10,hhsize10,mhhi12,hh25inc12,hh40inc12,hh60inc12,hh75inc12,hhm7512,hhpov12,hhchpov12
Fells Point,"9,039","4,613","4,426",7.8,69.8,4.6,2.0,0.7,15.1,55.6,4.7,5.0,11.3,71.2,7.7,"  4,717 ",25.7,11.4,2.0,"  73,083.92 ",20.1,9.4,10.9,10.3,49.3,8.2,30.9
Forest Park/Walbrook,"9,849","4,469","5,380",94.9,2.2,0.1,1.1,0.4,1.3,10.8,6.2,16.0,10.7,52.7,14.3,"  3,943 ",62.5,31.0,2.5,"  36,737.15 ",37.4,15.3,21.1,4.0,22.2,17.8,38.3
Glen-Fallstaff,"14,914","6,783","8,131",63.0,27.7,1.4,1.4,0.7,5.7,56.5,6.6,15.4,9.3,50.8,17.9,"  6,414 ",44.8,27.1,2.3,"  37,344.66 ",34.4,17.9,19.7,6.7,21.1,19.1,26.0
Greater Charles Village/Barclay,"16,391","8,528","7,863",34.7,43.8,13.3,2.8,0.6,4.8,67.8,3.2,5.1,33.9,50.6,7.3,"  7,040 ",49.3,11.1,2.0,"  28,899.22 ",42.7,14.5,18.2,5.6,19.0,17.6,32.0
Greater Govans,"10,681","4,766","5,915",90.9,5.4,0.5,1.3,0.6,1.3,18.6,7.1,17.3,10.0,52.8,12.8,"  4,073 ",60.3,33.9,2.6,"  38,396.20 ",38.2,17.8,16.8,11.5,15.8,17.7,25.7
Greater Mondawmin,"9,322","4,044","5,278",96.2,1.1,0.2,1.2,0.4,0.9,8.2,5.5,15.7,15.5,48.0,15.3,"  3,466 ",66.6,29.9,2.5,"  38,912.26 ",29.2,21.5,17.9,11.1,20.3,12.8,32.6
Greater Roland Park/Poplar Hill,"7,377","3,532","3,845",7.9,77.5,9.8,1.9,0.2,2.6,38.9,4.4,14.5,6.5,56.2,18.4,"  3,398 ",14.1,23.0,2.0,"  107,668.13 ",9.0,7.7,11.3,8.5,63.5,1.0,2.4
Greater Rosemont,"19,259","8,783","10,476",96.6,0.7,0.2,1.3,0.3,1.0,7.6,7.3,18.8,11.0,50.0,12.9,"  6,893 ",68.0,35.4,2.8,"  26,892.76 ",47.6,19.4,15.5,8.0,9.5,26.2,50.2
Greenmount East,"8,184","3,737","4,447",95.8,1.6,0.2,1.1,0.3,0.9,9.1,7.3,18.0,10.8,51.6,12.3,"  3,115 ",71.2,34.0,2.7,"  21,224.50 ",57.8,18.4,9.9,6.8,7.1,29.4,33.4
Hamilton,"13,002","6,012","6,990",56.5,37.1,1.2,2.3,0.7,2.3,55.2,5.9,17.5,8.4,57.4,10.9,"  5,139 ",43.6,32.8,2.5,"  59,540.33 ",16.4,17.4,16.3,10.4,39.5,6.4,8.6
Harbor East/Little Italy,"5,407","2,628","2,779",57.9,28.5,4.6,1.6,0.6,6.8,61.8,8.1,15.8,9.8,59.6,6.6,"  2,305 ",74.6,28.7,2.2,"  30,283.28 ",45.4,14.5,8.6,5.8,25.7,42.0,71.8
Harford/Echodale,"16,839","7,964","8,875",53.0,40.3,1.0,1.8,0.4,3.4,57.0,7.3,15.6,9.9,57.0,10.2,"  6,914 ",44.4,31.9,2.4,"  53,957.94 ",22.3,16.5,17.4,13.5,30.3,9.5,18.9
Highlandtown,"7,250","3,734","3,516",8.9,66.4,2.5,1.9,1.1,19.3,62.9,6.4,7.8,10.6,66.0,9.2,"  3,196 ",32.4,17.4,2.3,"  63,801.47 ",21.5,15.7,11.6,9.9,41.2,17.2,55.9
Howard Park/West Arlington,"10,873","4,949","5,924",94.3,2.2,0.3,1.3,0.3,1.6,12.7,5.5,15.2,9.3,50.9,19.1,"  4,204 ",54.4,30.3,2.5,"  37,094.58 ",31.0,24.3,13.1,9.6,22.0,12.9,31.5
Inner Harbor/Federal Hill,"12,855","6,528","6,327",11.5,79.5,3.9,1.6,0.4,3.2,36.2,4.7,4.8,13.3,66.6,10.6,"  6,724 ",27.0,11.4,2.0,"  83,496.50 ",19.5,4.9,13.0,7.1,55.5,10.2,19.1
Lauraville,"12,273","5,757","6,516",58.0,35.8,1.0,2.4,0.6,2.3,54.6,6.0,16.6,8.9,57.9,10.6,"  4,686 ",40.3,31.9,2.6,"  57,895.04 ",15.0,16.1,19.3,12.8,36.7,5.8,4.4
Loch Raven,"15,311","6,631","8,680",87.6,7.6,1.3,1.5,0.2,1.8,24.2,6.1,16.0,11.4,54.7,11.8,"  6,589 ",54.9,30.7,2.3,"  46,721.88 ",25.8,13.3,27.5,13.5,19.9,17.6,33.2
Madison/East End,"7,781","3,587","4,194",90.3,3.1,0.8,1.2,0.6,4.0,23.2,10.4,22.3,13.2,47.5,6.6,"  2,302 ",70.0,51.0,3.3,"  29,695.49 ",45.1,17.4,17.8,8.6,11.1,32.2,56.4
